parameter_name,symbol,value_or_range,unit,time_scale,noise_type,hardware_or_system,source_url,page_or_section,evidence_status,intended_use,limitations
imu_frame_rate,f_imu,100,Hz,0.01 s sample interval,not_reported,LuSNAR IMU,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_supported_value,Unreal MVP output frequency,Timestamp and synchronization implementation require sample audit; Interface reference only; real lunar hardware/environment applicability is unknown
accelerometer_random_walk,not_standardized,0.002353596,m/s^3 sqrt(Hz),not_reported,as_reported_but_noise_type_unclear,LuSNAR IMU,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_value_unit_requires_clarification,Do not use until clarified,README unit is unusual; no conversion attempted
gyroscope_random_walk,not_standardized,0.000087266462,rad/s sqrt(Hz),not_reported,as_reported_but_noise_type_unclear,LuSNAR IMU,https://github.com/zqyu9/LuSNAR-dataset,README Sensor Specifications,source_value_unit_requires_clarification,Do not use until clarified,Noise convention and discretization are unreported
lunar_pseudorange_error,sigma_rho,not_reported,m,not_reported,not_reported,lunar navigation service,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,Future external pseudorange generator,Specified paper studies Doppler by title; do not transfer its result to pseudorange
lunar_doppler_error,sigma_D,not_reported,Hz or m/s,not_reported,not_reported,Endurance single-satellite navigation,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,Future Doppler comparison only,Must not be used as pseudorange sigma
receiver_clock_allan_deviation,sigma_y_tau,not_reported,dimensionless,not_reported,not_reported,lunar surface receiver,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,Clock-process calibration,No Allan-to-process conversion possible without noise type and averaging time
receiver_clock_bias_process,q_b,not_reported,m^2/s,not_reported,not_reported,lunar surface receiver,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,Clock bias process model,Repository sensitivity value remains unsupported
receiver_clock_drift_process,q_d,not_reported,m^2/s^3,not_reported,not_reported,lunar surface receiver,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,Clock drift process model,Repository sensitivity value remains unsupported
satellite_ephemeris_error,sigma_eph,not_reported,m,not_reported,not_reported,lunar navigation satellite,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,External observation generator,No value substituted
satellite_clock_error,sigma_sat_clk,not_reported,m or s,not_reported,not_reported,lunar navigation satellite,https://doi.org/10.33012/navi.710,full_text_not_accessible,evidence_missing,External observation generator,No value substituted
DUST_sensor_configuration,not_reported,not_reported,not_reported,not_reported,not_reported,DUST Unreal tool,https://ntrs.nasa.gov/api/citations/20220014707/downloads/DUST_IEEE2023Paper.pdf,full_text_not_accessible,evidence_missing,Compare with Unreal MVP,Do not claim DUST compatibility until PDF is checked
S3LI_sensor_configuration,not_reported,not_reported,not_reported,not_reported,not_reported,S3LI planetary dataset,https://arxiv.org/abs/2207.06815,full_text_not_accessible,evidence_missing,Future real-data adapter,No sensor field or rate inferred from title
S3LI_Vulcano_configuration,not_reported,not_reported,not_reported,not_reported,not_reported,S3LI Vulcano dataset,https://arxiv.org/abs/2601.19557,full_text_not_accessible,evidence_missing,Future real-data adapter,Version relationship and fields remain unverified
